lvl#, mixedWordsLengths, targetLength, minWordFrequency, maxWordFrequency, maxConseqLetter
0, 3 4 , 6, 0.0, 0.2, 4
1, 3 4 , 6, 0.2, 0.4, 4
2, 3 4 , 6, 0.2, 0.4, 3
3, 3 4 , 6, 0.4, 0.6000000000000001, 3
4, 3 4 , 6, 0.4, 0.6000000000000001, 2
5, 4 6 , 8, 0.0, 0.2, 4
6, 4 6 , 8, 0.2, 0.4, 4
7, 4 6 , 8, 0.2, 0.4, 3
8, 4 6 , 8, 0.4, 0.6000000000000001, 3
9, 4 6 , 8, 0.6, 0.8, 3
10, 3 4 5 , 8, 0.2, 0.4, 4
11, 3 4 5 , 8, 0.4, 0.6000000000000001, 4
12, 3 4 5 , 8, 0.4, 0.6000000000000001, 3
13, 3 4 5 , 8, 0.6, 0.8, 3
14, 3 4 5 , 8, 0.8, 1.0, 3
15, 4 5 6 , 10, 0.2, 0.4, 5
16, 4 5 6 , 10, 0.4, 0.6000000000000001, 5
17, 4 5 6 , 10, 0.4, 0.6000000000000001, 4
18, 4 5 6 , 10, 0.6, 0.8, 4
19, 4 5 6 , 10, 0.6, 0.8, 3
20, 3 4 7 , 10, 0.2, 0.4, 5
21, 3 4 7 , 10, 0.2, 0.4, 4
22, 3 4 7 , 10, 0.4, 0.6000000000000001, 4
23, 3 4 7 , 10, 0.6, 0.8, 4
24, 3 4 7 , 10, 0.6, 0.8, 3
25, 3 5 7 , 10, 0.4, 0.6000000000000001, 5
26, 3 5 7 , 10, 0.4, 0.6000000000000001, 4
27, 3 5 7 , 10, 0.6, 0.8, 4
28, 3 5 7 , 10, 0.8, 1.0, 4
29, 3 5 7 , 10, 0.8, 1.0, 3
